,Poblacion total,Superficie,Densidad,Porcentaje de poblacion urbana,Relacion hombre-mujer,Relacion de dependencia,Viviendas individuales,Promedio de ocupantes,Porcentaje de viviendas en buen estado,Porcentaje de viviendas haciendas,Porcentaje de alfabetizacion,10 a 24 annos,25 a mes annos,Escolaridad promedio,25 a 49 annos,50 o mas annos,Porcentaje de asistencia a la educacion,Menor de 5 annos,5 a 17 annos,18 a 24 annos,25 y mas annos,Personas fuera de la fuerza de trabajo (15 annos y mas),Tasa neta de participacion,Hombres,Mujeres,Porcentaje de poblacion ocupada no asegurada,Porcentaje de poblacion nacida en el extranjero,Porcentaje de poblacion con discapacidad,Porcentaje de poblacion no asegurada,Porcentaje de hogares con jefatura femenina,Porcentaje de hogares con jefatura compartida
San Carlos,163745,3347.97998,48.90859592,47.36572109,100.4296363,52.06630758,44966,3.622425833,61.07725837,6.53604946,95.65031471,98.60702492,93.87750204,7.019284309,7.6461974,5.645204535,33.05957044,9.505897354,85.75428434,34.36346468,6.49690395,45.8284824,54.1715176,76.19833858,32.34366744,20.47227459,14.36990442,8.825918349,19.54136004,24.74215588,7.610194
Zarcero,12205,155.1300049,78.67594673,43.4002458,100.0163881,46.27277085,3333,3.647764776,73.92739274,3.180318032,97.69701681,99.22971114,96.85997596,7.41811899,8.192035815,6.056384743,30.79600214,15.31531532,87.29220539,40.64026044,5.093149038,45.18326306,54.81673694,80.18969606,29.28416486,22.25318471,9.864809504,7.824662024,17.20606309,21.04184958,6.30063
Valverde Vega,18085,120.25,150.3950104,37.0417473,96.49065624,47.91036231,5054,3.569449941,63.45468935,3.225168184,97.02628839,98.70820669,96.15003959,7.347288203,8.209493671,5.907241015,31.6208134,12.6007326,87.24897169,43.29440193,5.997624703,49.2341517,50.7658483,72.94207317,30.23288638,20.19961269,7.746751451,9.134641968,16.45562621,26.6328719,7.894737
Upala,43953,1580.670044,27.80656227,21.41833322,100.4057997,60.38899431,11518,3.810123285,41.60444522,10.35770099,94.14835396,99.05031892,90.93443613,6.050648204,6.976648944,4.355517559,36.730803,5.916870416,86.28263248,38.17591925,6.900236978,55.07853749,44.92146251,67.66538513,22.37481929,30.08589512,12.70220463,13.45073146,30.5530908,24.94868286,7.709672
Los Chiles,23735,1358.859985,17.4668474,20.40867917,104.4358312,58.74130551,6035,3.927920464,39.83429992,14.15078708,91.10115911,97.1219389,86.7878459,5.481461385,6.139820438,4.050229621,33.12146563,6.843455945,77.85611511,30.18589554,5.905226985,52.51620871,47.48379129,71.94357367,21.80736616,30.7505071,27.65536128,10.75205393,28.35053718,22.48425133,7.953604
Guatuso,15508,758.3200073,20.45046926,17.15243745,103.4636578,55.39078156,4409,3.511000227,44.70401452,7.189838966,94.24129452,98.5237484,91.71813942,5.990419766,6.784603421,4.525636429,30.06331365,7.925568573,80.02908386,29.57957958,4.197655364,53.87349617,46.12650383,70.68592058,21.07879234,27.65567766,9.059840083,12.99974207,22.36265153,22.4149433,7.870265
Cartago,147898,287.769989,513.9451842,88.68814994,96.132985,43.88784574,38618,3.800119115,74.14677094,2.933865037,98.39335224,99.29639402,97.94392523,8.973074648,9.759498832,7.585361068,34.32388381,19.07127843,89.40382805,51.86382655,9.193185851,46.82904573,53.17095427,72.22192044,35.26087327,13.70187797,3.871587175,8.60390269,13.92310917,28.69534609,6.424465
Paraiso,57743,411.9100037,140.183534,76.90629167,95.90500424,45.83775319,14626,3.93668809,70.77122932,4.027075072,97.95250638,99.28091201,97.23095488,7.530596043,8.332073643,6.006082389,32.80690237,17.00542005,87.02301411,42.93751496,6.928963831,48.53178817,51.46821183,74.17275055,29.91810655,13.85331781,2.402022756,8.045996917,13.46310375,25.95516052,4.868043
La Union,99399,44.83000183,2217.242827,96.98689122,93.1840709,43.71493841,26979,3.671411098,69.66529523,4.662885948,98.63721748,99.3758771,98.28321623,9.509707793,10.24825065,7.955606835,34.21548438,18.46552362,89.78591575,47.6071103,9.824604874,40.73624865,59.26375135,75.3904826,44.65555781,12.94580501,9.654020664,9.405527219,14.1359571,31.54897907,8.358353
Jimenez,14669,286.4299927,51.21321222,52.56663713,98.90169492,46.80744596,4113,3.562849502,56.69827377,1.99367858,96.55420531,99.06519655,95.2975048,6.588891555,7.377979569,5.221311475,31.59903133,15.73896353,89.05352283,43.9516129,5.866122841,52.94907366,47.05092634,70.25769506,23.83169203,12.65649452,2.385984048,10.94825823,11.00279501,25.61411877,9.968393
Turrialba,69616,1642.670044,42.379783,57.38048724,97.76710889,49.11536649,20453,3.397301129,64.88534689,3.442037843,96.06015242,98.75210615,94.77533172,7.418375553,8.3193204,6.038615688,33.04355954,18.79145173,88.40617985,49.12432432,8.232810615,52.52040235,47.47959765,67.73767947,28.08692422,14.85022045,2.173350954,11.71426109,12.57038612,26.53679654,8.272625
Alvarado,14312,81.05999756,176.5605777,62.57685858,100.2518539,47.62248582,3612,3.953211517,72.39756368,3.128460687,97.2040156,98.75538535,96.38095238,6.581968254,7.340066032,5.150036684,29.47328534,16.3831692,82.37766437,35.74660633,5.511111111,46.96148093,53.03851907,79.66929726,26.66542613,18.11347772,1.390441587,8.880659586,14.33761878,19.49448777,8.776301
Oreamuno,45473,201.3099976,225.885453,87.45849185,95.70063694,45.52291347,11232,4.040954416,76.66488604,3.952991453,97.6760545,99.06074837,96.95008141,8.106389738,8.824027678,6.677082096,33.8884521,18.88571429,88.25579205,46.76060901,7.807473889,46.09205512,53.90794488,75.77892499,33.49957495,17.21109744,1.420623227,8.29283311,15.65104568,26.04049005,7.247151
El Guarco,41793,167.6900024,249.227738,87.66061302,101.5480324,44.67753661,10831,3.830024928,73.24346782,2.465146339,98.42517451,99.45073236,97.89460088,8.339963834,9.168160451,6.522624123,34.39718149,17.7373864,89.83907572,44.80816614,8.710066305,44.86769781,55.13230219,75.45170146,34.76869921,12.94152924,2.79472639,8.109013471,13.03089034,23.74408446,7.293879
Heredia,123616,282.6000061,437.4239113,99.70796661,90.32779566,40.81356009,35216,3.50096547,78.15197637,3.912994094,99.07094595,99.54492344,98.86274616,10.57897296,11.2171877,9.399238227,34.12053246,19.73748177,91.31440162,54.19161677,10.5513385,41.10106515,58.89893485,73.07888266,46.52816697,9.23026804,11.3342933,10.49055138,10.46870955,34.93491841,9.234439
Barva,40660,53.79999924,755.7620925,91.0304968,95.66891242,40.69204152,11291,3.589141794,78.62013993,2.400141706,98.85629325,99.49050486,98.57314198,10.13205674,10.85840147,8.76815044,32.91706186,19.23076923,88.48870056,50.7479644,9.495843501,42.22327791,57.77672209,74.68512202,41.99375421,9.982034583,5.381210034,9.495818987,9.584358091,27.42144897,9.485431
Santo Domingo,40072,24.84000015,1613.204499,100,94.59039479,41.27269522,11496,3.478601253,77.57480863,2.940153097,99.06755254,99.39936883,98.93844569,10.39479522,11.20409507,9.172516655,31.98226894,23.76980817,91.21260684,56.41700405,9.633209221,42.9163292,57.0836708,72.40886347,42.97253635,9.874669814,7.668696347,9.809842284,9.298263126,30.44510386,10.08177
Santa Barbara,36243,53.20999908,681.131378,87.81557818,97.33747141,43.42870711,10107,3.584644306,76.39259919,2.948451568,98.50605696,99.38115045,98.09400974,8.791153148,9.590319542,7.244917987,33.29168526,15.75342466,90.81684424,46.29977069,8.646221458,43.57826322,56.42173678,75.60400707,37.97719385,11.67839989,6.779240129,9.662555528,11.43945038,24.5990864,7.954883
San Rafael,45965,48.38999939,949.8863521,90.34917872,95.25508687,42.81941337,12957,3.542563865,74.129814,3.06398086,98.71504542,99.46987546,98.38786155,9.781303571,10.59829108,8.299743458,33.41451991,18.65237366,90.72186613,51.45681582,9.727541306,42.09800445,57.90199555,73.50218341,43.30391195,12.06438349,8.138801262,9.370172958,12.27238116,30.4751832,10.31103
San Isidro,20633,26.95999908,765.3190171,94.63965492,97.99443432,41.15755627,5807,3.53814362,76.61443086,2.410883417,98.67393381,99.76005906,98.19856208,9.657484449,10.50916964,8.180251822,33.3281315,22.64017033,92.10206561,52.56410256,9.548428791,41.34306208,58.65693792,75.06034811,43.10324057,11.20094868,7.74972132,8.617263607,11.23927689,28.53548062,11.93387
Belen,21633,12.14999962,1780.493883,100,94.22697073,38.67307692,6011,3.586757611,82.49875229,2.944601564,99.04023625,99.70165952,98.77941176,10.27272059,11.24118494,8.738122387,29.42535516,29.06976744,89.50332821,50.47585478,7.779411765,41.50208942,58.49791058,74.13999044,44.10245136,9.816504562,11.98169463,8.829103684,10.32219295,28.64007689,10.5806
